PLAYER_ID,PLAYER_NAME,TEAM,GP,TS_PCT,USG_PCT,ORTG,DRTG,NET_RATING,PACE,PIE,SEASON,PER,BPM,VORP,WS,WS_PER_48
203932,Aaron Gordon,DEN,75,0.602,0.194,117.3,111.1,6.2,99.0,0.096,2021-22,,,,,
1630565,Aaron Henry,PHI,6,0.2,0.149,71.1,127.0,-56.0,105.99,-0.079,2021-22,,,,,
1628988,Aaron Holiday,PHX,63,0.544,0.182,106.8,108.2,-1.4,99.57,0.088,2021-22,,,,,
1630174,Aaron Nesmith,BOS,52,0.507,0.164,107.3,104.3,3.0,100.58,0.048,2021-22,,,,,
1630598,Aaron Wiggins,OKC,50,0.556,0.149,104.5,112.6,-8.1,101.6,0.062,2021-22,,,,,
1627846,Abdel Nader,PHX,14,0.431,0.139,95.1,96.0,-0.9,107.91,0.036,2021-22,,,,,
1630278,Ade Murkey,SAC,1,0.0,0.0,33.3,66.7,-33.3,98.18,0.0,2021-22,,,,,
1629678,Admiral Schofield,ORL,38,0.538,0.143,100.3,113.8,-13.5,99.88,0.055,2021-22,,,,,
1629958,Ahmad Caver,IND,1,1.0,0.5,200.0,66.7,133.3,142.29,0.4,2021-22,,,,,
201143,Al Horford,BOS,69,0.574,0.147,112.8,103.4,9.3,98.03,0.123,2021-22,,,,,
202692,Alec Burks,NYK,81,0.559,0.171,110.3,108.1,2.3,96.97,0.099,2021-22,,,,,
1630758,Aleem Ford,ORL,5,0.35,0.148,98.6,120.7,-22.1,93.68,0.022,2021-22,,,,,
1630197,Aleksej Pokusevski,OKC,61,0.485,0.195,103.6,106.1,-2.5,100.66,0.095,2021-22,,,,,
1627936,Alex Caruso,CHI,41,0.528,0.13,110.5,105.5,5.1,99.49,0.077,2021-22,,,,,
203458,Alex Len,SAC,39,0.577,0.165,106.0,111.4,-5.5,102.74,0.074,2021-22,,,,,
1628035,Alfonzo McKinnie,CHI,17,0.457,0.148,108.6,121.5,-12.9,97.37,0.02,2021-22,,,,,
1628993,Alize Johnson,NOP,23,0.463,0.14,105.1,115.7,-10.6,97.6,0.069,2021-22,,,,,
1630578,Alperen Sengun,HOU,72,0.552,0.214,106.4,116.6,-10.2,101.69,0.099,2021-22,,,,,
1629599,Amir Coffey,LAC,69,0.598,0.154,110.1,111.0,-0.9,100.02,0.086,2021-22,,,,,
203083,Andre Drummond,BKN,73,0.574,0.181,112.2,109.8,2.4,99.27,0.14,2021-22,,,,,
2738,Andre Iguodala,GSW,31,0.478,0.113,105.7,97.0,8.7,99.57,0.103,2021-22,,,,,
203952,Andrew Wiggins,GSW,73,0.56,0.224,111.2,105.4,5.8,99.79,0.097,2021-22,,,,,
1629014,Anfernee Simons,POR,57,0.583,0.244,110.5,112.9,-2.5,98.43,0.102,2021-22,,,,,
203076,Anthony Davis,LAL,40,0.578,0.263,105.9,108.9,-3.0,101.79,0.159,2021-22,,,,,
1630162,Anthony Edwards,MIN,72,0.56,0.262,114.6,110.6,4.0,101.18,0.111,2021-22,,,,,
1630264,Anthony Gill,WAS,44,0.682,0.138,114.7,108.9,5.8,100.53,0.081,2021-22,,,,,
1630237,Anthony Lamb,HOU,2,0.0,0.105,105.9,76.5,29.4,106.2,0.036,2021-22,,,,,
1629717,Armoni Brooks,TOR,54,0.483,0.159,108.3,112.1,-3.8,100.95,0.054,2021-22,,,,,
1629083,Arnoldas Kulboka,CHA,2,0.0,0.071,50.0,150.0,-100.0,108.68,-0.114,2021-22,,,,,
1630559,Austin Reaves,LAL,61,0.6,0.121,110.8,109.0,1.8,101.81,0.076,2021-22,,,,,
203085,Austin Rivers,DEN,67,0.546,0.123,113.0,111.1,1.9,98.91,0.043,2021-22,,,,,
202340,Avery Bradley,LAL,62,0.55,0.119,105.4,111.2,-5.8,100.99,0.045,2021-22,,,,,
1630245,Ayo Dosunmu,CHI,77,0.596,0.138,109.1,114.1,-5.0,100.31,0.07,2021-22,,,,,
1629168,BJ Johnson,ORL,4,0.52,0.169,103.8,113.0,-9.2,97.34,0.083,2021-22,,,,,
1628389,Bam Adebayo,MIA,56,0.608,0.248,113.1,104.9,8.1,97.21,0.161,2021-22,,,,,
203463,Ben McLemore,POR,64,0.567,0.207,101.9,115.0,-13.1,100.73,0.07,2021-22,,,,,
202687,Bismack Biyombo,PHX,36,0.596,0.167,111.8,106.2,5.6,99.44,0.102,2021-22,,,,,
201933,Blake Griffin,BKN,56,0.518,0.167,107.8,112.5,-4.7,101.65,0.091,2021-22,,,,,
1626246,Boban Marjanovic,DAL,23,0.615,0.311,108.3,95.5,12.8,99.23,0.131,2021-22,,,,,
